Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offensive eFG%,Offensive TOV%,Offensive ORB%,Offensive FT/FGA,Defensive eFG%,Defensive TOV%,Defensive DRB%,Defensive FT/FGA,Arena,Attend.,Attend./G,season
12.0,Orlando Magic,28.0,44.0,38.0,46.0,36.0,1.57,-0.32,1.25,107.0,105.3,1.7,93.2,0.278,0.241,0.533,0.493,12.6,26.3,0.21,0.486,14.4,69.2,0.215,TD Waterhouse Centre,621121.0,15149.0,2002
13.0,Utah Jazz,29.9,44.0,38.0,44.0,38.0,0.89,0.32,1.21,105.6,104.6,1.0,90.3,0.381,0.132,0.529,0.472,15.4,33.5,0.291,0.484,15.9,71.7,0.286,Delta Center,766108.0,18686.0,2002
14.0,Charlotte Hornets,28.3,44.0,38.0,44.0,38.0,0.96,-0.4,0.57,104.3,103.3,1.0,89.7,0.32,0.151,0.513,0.466,13.3,30.6,0.238,0.465,13.3,72.2,0.226,Charlotte Coliseum,462738.0,11286.0,2002
15.0,Indiana Pacers,26.1,42.0,40.0,42.0,40.0,0.27,-0.34,-0.07,104.1,103.8,0.3,91.9,0.328,0.182,0.527,0.477,14.2,27.0,0.253,0.469,13.2,71.0,0.227,Conseco Fieldhouse,686537.0,16745.0,2002
16.0,Milwaukee Bucks,28.9,41.0,41.0,40.0,42.0,-0.22,-0.4,-0.62,106.9,107.1,-0.2,90.2,0.269,0.241,0.544,0.507,13.6,25.6,0.201,0.477,12.0,70.9,0.217,Bradley Center,745305.0,18178.0,2002
17.0,Los Angeles Clippers,24.4,39.0,43.0,40.0,42.0,-0.46,0.38,-0.09,105.5,106.0,-0.5,90.1,0.304,0.172,0.519,0.476,13.8,31.3,0.225,0.477,12.1,69.9,0.194,STAPLES Center,740185.0,18053.0,2002
18.0,Toronto Raptors,29.3,42.0,40.0,40.0,42.0,-0.44,-0.27,-0.71,102.6,103.1,-0.5,88.8,0.255,0.165,0.501,0.463,13.6,31.4,0.189,0.471,14.7,70.1,0.237,Air Canada Centre,810160.0,19760.0,2002
19.0,Phoenix Suns,26.5,36.0,46.0,39.0,43.0,-0.68,0.39,-0.3,103.3,104.0,-0.7,91.4,0.235,0.158,0.51,0.472,13.6,30.1,0.18,0.476,14.4,70.2,0.227,America West Arena,668939.0,16316.0,2002
20.0,Washington Wizards,27.5,37.0,45.0,37.0,45.0,-1.4,-0.17,-1.58,104.8,106.4,-1.6,88.3,0.28,0.118,0.508,0.464,12.5,30.7,0.214,0.484,13.0,71.4,0.214,MCI Center,847634.0,20674.0,2002
21.0,Miami Heat,30.1,36.0,46.0,36.0,46.0,-1.54,-0.31,-1.84,98.5,100.2,-1.7,87.4,0.268,0.141,0.501,0.463,14.6,26.6,0.194,0.455,13.6,74.0,0.249,AmericanAirlines Arena,655549.0,15989.0,2002
22.0,Cleveland Cavaliers,26.0,29.0,53.0,31.0,51.0,-3.33,-0.19,-3.52,104.6,108.2,-3.6,90.3,0.301,0.156,0.524,0.477,13.8,28.9,0.232,0.493,12.3,72.8,0.226,Gund Arena,596115.0,14539.0,2002
23.0,New York Knicks,30.3,30.0,52.0,29.0,53.0,-3.99,-0.16,-4.15,101.5,105.9,-4.4,89.7,0.274,0.206,0.514,0.468,14.0,25.6,0.216,0.479,12.9,71.9,0.236,Madison Square Garden (IV),810283.0,19763.0,2002
24.0,Atlanta Hawks,25.7,33.0,49.0,29.0,53.0,-4.23,-0.18,-4.41,101.8,106.4,-4.6,91.9,0.294,0.181,0.517,0.471,14.6,27.5,0.225,0.495,14.1,70.9,0.218,Philips Arena,506110.0,12344.0,2002
25.0,Houston Rockets,25.9,28.0,54.0,27.0,55.0,-4.89,0.58,-4.31,103.1,108.6,-5.5,88.2,0.286,0.223,0.507,0.465,13.4,29.0,0.211,0.491,11.5,69.8,0.178,Compaq Center,481227.0,11737.0,2002
26.0,Golden State Warriors,24.8,21.0,61.0,26.0,56.0,-5.4,0.61,-4.8,102.8,108.5,-5.7,94.5,0.335,0.142,0.499,0.452,14.7,35.3,0.242,0.488,12.9,69.4,0.232,The Arena in Oakland,593182.0,14468.0,2002
27.0,Denver Nuggets,28.2,27.0,55.0,24.0,58.0,-5.82,0.63,-5.19,101.4,107.8,-6.4,90.4,0.256,0.187,0.495,0.455,13.6,30.6,0.19,0.492,13.6,69.9,0.245,Pepsi Center,633846.0,15460.0,2002
28.0,Memphis Grizzlies,25.5,23.0,59.0,20.0,62.0,-7.44,0.7,-6.74,98.2,106.3,-8.1,91.1,0.288,0.168,0.501,0.462,15.4,27.8,0.204,0.486,13.7,68.0,0.197,Pyramid Arena,591030.0,14415.0,2002
29.0,Chicago Bulls,25.5,21.0,61.0,18.0,64.0,-8.54,0.02,-8.52,98.2,107.6,-9.4,90.5,0.302,0.134,0.499,0.456,14.6,26.6,0.218,0.497,13.7,71.4,0.239,United Center,776311.0,18934.0,2002
1.0,Dallas Mavericks,28.1,60.0,22.0,62.0,20.0,7.78,0.12,7.9,110.7,102.3,8.4,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,816429.0,19913.0,2003
2.0,Sacramento Kings,28.3,59.0,23.0,59.0,23.0,6.5,0.18,6.68,105.9,99.1,6.8,95.4,0.262,0.184,0.535,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),709997.0,17317.0,2003
3.0,San Antonio Spurs,28.4,60.0,22.0,57.0,25.0,5.41,0.23,5.65,105.6,99.7,5.9,90.0,0.348,0.202,0.541,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,SBC Center,735970.0,17950.0,2003
4.0,New Jersey Nets,27.3,49.0,33.0,56.0,26.0,5.22,-0.8,4.42,103.8,98.1,5.7,91.6,0.333,0.158,0.518,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,Continental Airlines Arena,622574.0,15185.0,2003
5.0,Detroit Pistons,29.0,50.0,32.0,52.0,30.0,3.68,-0.71,2.97,104.1,99.9,4.2,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74.0,0.225,The Palace of Auburn Hills,839278.0,20470.0,2003
6.0,Indiana Pacers,25.9,48.0,34.0,51.0,31.0,3.49,-0.7,2.79,104.6,100.8,3.8,91.6,0.344,0.169,0.522,0.469,13.7,29.0,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,670461.0,16353.0,2003
7.0,Portland Trail Blazers,29.2,50.0,32.0,49.0,33.0,2.61,0.36,2.97,105.5,102.6,2.9,89.4,0.3,0.177,0.531,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,Rose Garden Arena,796258.0,19421.0,2003
8.0,Utah Jazz,30.9,47.0,35.0,48.0,34.0,2.39,0.37,2.76,105.5,102.8,2.7,89.3,0.38,0.104,0.537,0.486,16.0,32.5,0.283,0.468,15.2,70.2,0.256,Delta Center,786034.0,19172.0,2003
9.0,Los Angeles Lakers,28.1,50.0,32.0,48.0,34.0,2.33,0.38,2.71,107.2,104.7,2.5,92.5,0.311,0.199,0.528,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,STAPLES Center,777888.0,18973.0,2003
10.0,Philadelphia 76ers,28.3,48.0,34.0,48.0,34.0,2.3,-0.55,1.76,105.0,102.5,2.5,91.4,0.339,0.119,0.52,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,First Union Center,807097.0,19685.0,2003
11.0,Minnesota Timberwolves,28.2,51.0,31.0,47.0,35.0,2.07,0.39,2.46,106.1,103.8,2.3,91.9,0.268,0.118,0.528,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,Target Center,643684.0,15700.0,2003
12.0,New Orleans Hornets,29.1,47.0,35.0,47.0,35.0,2.11,-0.59,1.52,103.9,101.6,2.3,89.4,0.285,0.161,0.511,0.465,13.9,31.7,0.219,0.464,14.0,73.1,0.226,New Orleans Arena,641683.0,15651.0,2003
13.0,Houston Rockets,25.9,43.0,39.0,46.0,36.0,1.48,0.42,1.89,104.3,102.6,1.7,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,565166.0,13785.0,2003
14.0,Phoenix Suns,25.2,44.0,38.0,44.0,38.0,1.13,0.43,1.57,103.7,102.5,1.2,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,America West Arena,666559.0,16258.0,2003
15.0,Orlando Magic,26.9,42.0,40.0,41.0,41.0,0.13,-0.53,-0.39,105.2,105.0,0.2,93.1,0.307,0.235,0.526,0.478,13.3,27.0,0.239,0.486,15.1,71.1,0.25,TD Waterhouse Centre,605901.0,14778.0,2003
16.0,Milwaukee Bucks,29.3,42.0,40.0,42.0,40.0,0.23,-0.48,-0.24,108.8,108.6,0.2,90.4,0.287,0.229,0.543,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,Bradley Center,665966.0,16243.0,2003
17.0,Seattle SuperSonics,26.9,40.0,42.0,41.0,41.0,-0.12,0.49,0.37,103.7,103.9,-0.2,88.0,0.27,0.196,0.512,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,KeyArena at Seattle Center,637194.0,15541.0,2003
18.0,Boston Celtics,26.9,44.0,38.0,40.0,42.0,-0.39,-0.36,-0.75,101.2,101.6,-0.4,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,FleetCenter,709049.0,17294.0,2003
19.0,Washington Wizards,28.4,37.0,45.0,38.0,44.0,-1.01,-0.46,-1.47,103.0,104.1,-1.1,88.2,0.325,0.127,0.513,0.46,13.0,27.3,0.253,0.477,13.8,71.6,0.212,MCI Center,827093.0,20173.0,2003
20.0,Golden State Warriors,24.4,38.0,44.0,38.0,44.0,-1.13,0.54,-0.6,108.3,109.5,-1.2,94.2,0.343,0.178,0.526,0.472,13.9,35.0,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,634935.0,15486.0,2003
21.0,New York Knicks,30.2,37.0,45.0,37.0,45.0,-1.35,-0.26,-1.61,104.7,106.2,-1.5,90.7,0.241,0.235,0.528,0.486,13.4,24.4,0.196,0.485,13.7,71.8,0.261,Madison Square Garden (IV),779479.0,19012.0,2003
22.0,Memphis Grizzlies,24.9,28.0,54.0,32.0,50.0,-3.23,0.63,-2.6,103.9,107.3,-3.4,92.7,0.287,0.19,0.526,0.487,14.2,27.0,0.212,0.491,13.4,68.7,0.197,Pyramid Arena,611322.0,14910.0,2003
23.0,Atlanta Hawks,27.2,35.0,47.0,31.0,51.0,-3.56,-0.31,-3.87,102.3,106.1,-3.8,91.0,0.313,0.177,0.527,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,528655.0,12894.0,2003
24.0,Los Angeles Clippers,25.3,27.0,55.0,29.0,53.0,-4.12,0.68,-3.45,102.3,106.8,-4.5,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471.0,17231.0,2003
25.0,Chicago Bulls,25.2,30.0,52.0,27.0,55.0,-5.13,-0.17,-5.31,100.2,105.6,-5.4,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,804309.0,19617.0,2003
26.0,Miami Heat,26.5,25.0,57.0,25.0,57.0,-5.05,-0.08,-5.13,96.7,102.4,-5.7,87.8,0.259,0.169,0.483,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,628242.0,15323.0,2003
27.0,Toronto Raptors,27.6,24.0,58.0,24.0,58.0,-5.87,-0.23,-6.1,100.5,107.0,-6.5,89.9,0.282,0.179,0.497,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,Air Canada Centre,777507.0,18964.0,2003
28.0,Denver Nuggets,24.1,17.0,65.0,17.0,65.0,-8.28,0.87,-7.41,92.2,101.3,-9.1,91.0,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,607813.0,14825.0,2003
29.0,Cleveland Cavaliers,23.5,17.0,65.0,16.0,66.0,-9.62,0.04,-9.59,96.5,106.7,-10.2,94.0,0.298,0.133,0.491,0.444,16.4,31.0,0.223,0.484,13.0,73.2,0.252,Gund Arena,471374.0,11497.0,2003
1.0,San Antonio Spurs,27.3,57.0,25.0,62.0,20.0,7.22,0.29,7.51,102.2,94.1,8.1,89.2,0.322,0.177,0.511,0.473,14.1,29.5,0.219,0.433,14.8,74.6,0.215,SBC Center,739706.0,18042.0,2004
2.0,Detroit Pistons,27.4,54.0,28.0,59.0,23.0,5.84,-0.81,5.04,102.0,95.4,6.6,87.9,0.328,0.153,0.511,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,The Palace of Auburn Hills,872902.0,21290.0,2004
3.0,Indiana Pacers,27.1,61.0,21.0,58.0,24.0,5.76,-0.82,4.93,103.8,97.2,6.6,87.5,0.319,0.203,0.52,0.471,14.1,28.5,0.243,0.459,15.7,73.9,0.218,Conseco Fieldhouse,678326.0,16545.0,2004
4.0,Minnesota Timberwolves,29.7,58.0,24.0,57.0,25.0,5.49,0.37,5.86,105.9,99.7,6.2,89.0,0.265,0.137,0.528,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215,Target Center,723071.0,17636.0,2004
5.0,Sacramento Kings,29.3,55.0,27.0,55.0,27.0,5.01,0.4,5.41,110.3,104.9,5.4,92.8,0.305,0.223,0.554,0.507,13.0,26.0,0.242,0.483,13.7,69.8,0.193,ARCO Arena (II),709997.0,17317.0,2004
6.0,Dallas Mavericks,27.4,52.0,30.0,53.0,29.0,4.44,0.42,4.86,112.1,107.4,4.7,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,American Airlines Center,825594.0,20136.0,2004
7.0,Los Angeles Lakers,29.8,56.0,26.0,52.0,30.0,3.9,0.45,4.35,105.5,101.3,4.2,92.3,0.352,0.167,0.522,0.481,12.8,28.1,0.244,0.471,14.3,73.3,0.222,STAPLES Center,777757.0,18970.0,2004
8.0,New Jersey Nets,27.7,47.0,35.0,49.0,33.0,2.5,-0.63,1.88,100.8,98.0,2.8,89.4,0.291,0.176,0.515,0.471,14.4,25.9,0.219,0.46,15.7,73.9,0.221,Continental Airlines Arena,613051.0,14952.0,2004
9.0,Memphis Grizzlies,26.0,50.0,32.0,48.0,34.0,2.44,0.52,2.95,104.8,102.2,2.6,91.4,0.322,0.197,0.522,0.479,13.9,29.5,0.234,0.465,15.7,68.4,0.251,Pyramid Arena,622723.0,15188.0,2004
10.0,Houston Rockets,28.3,45.0,37.0,47.0,35.0,1.73,0.55,2.28,100.9,99.0,1.9,87.8,0.286,0.227,0.528,0.484,16.4,26.5,0.221,0.447,13.1,74.5,0.233,Toyota Center,640794.0,15629.0,2004
11.0,Denver Nuggets,25.6,43.0,39.0,44.0,38.0,1.07,0.58,1.65,103.9,102.7,1.2,93.3,0.319,0.146,0.517,0.467,14.2,30.5,0.245,0.481,15.6,69.3,0.221,Pepsi Center,721476.0,17597.0,2004
12.0,Milwaukee Bucks,26.5,41.0,41.0,44.0,38.0,1.06,-0.64,0.42,106.5,105.4,1.1,91.6,0.33,0.172,0.528,0.477,12.7,27.6,0.255,0.485,13.3,71.8,0.213,Bradley Center,690180.0,16834.0,2004
13.0,Miami Heat,26.4,42.0,40.0,43.0,39.0,0.52,-0.65,-0.13,102.2,101.7,0.5,88.0,0.298,0.211,0.51,0.463,13.5,27.4,0.227,0.463,14.5,73.4,0.26,AmericanAirlines Arena,624809.0,15239.0,2004
14.0,New Orleans Hornets,30.3,41.0,41.0,41.0,41.0,-0.1,-0.62,-0.72,102.3,102.4,-0.1,89.1,0.293,0.252,0.505,0.46,14.1,30.6,0.22,0.476,15.0,71.3,0.218,New Orleans Arena,587613.0,14332.0,2004
15.0,Seattle SuperSonics,26.0,37.0,45.0,39.0,43.0,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,0.27,0.294,0.54,0.501,13.9,27.2,0.207,0.487,13.9,68.5,0.237,KeyArena at Seattle Center,625474.0,15154.0,2004
16.0,Golden State Warriors,28.1,37.0,45.0,39.0,43.0,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,0.311,0.197,0.517,0.475,14.1,28.4,0.226,0.476,13.3,72.1,0.211,The Arena in Oakland,665648.0,16235.0,2004
17.0,Portland Trail Blazers,27.6,41.0,41.0,37.0,45.0,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,0.267,0.17,0.515,0.478,14.4,31.2,0.195,0.482,13.3,70.0,0.186,Rose Garden Arena,684038.0,16684.0,2004
18.0,Utah Jazz,24.9,42.0,40.0,37.0,45.0,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,0.356,0.127,0.509,0.456,16.1,34.1,0.266,0.468,15.4,72.4,0.319,Delta Center,785330.0,19154.0,2004
19.0,Boston Celtics,26.4,36.0,46.0,37.0,45.0,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,0.327,0.249,0.532,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,FleetCenter,664248.0,16201.0,2004
20.0,New York Knicks,29.6,39.0,43.0,36.0,46.0,-1.48,-0.49,-1.97,101.7,103.3,-1.6,89.5,0.266,0.171,0.518,0.474,15.1,28.0,0.211,0.461,13.2,72.8,0.259,Madison Square Garden (IV),785739.0,19164.0,2004
21.0,Philadelphia 76ers,27.5,33.0,49.0,33.0,49.0,-2.49,-0.46,-2.95,99.1,101.9,-2.8,88.0,0.321,0.158,0.505,0.456,15.5,28.2,0.242,0.467,14.7,70.7,0.231,Wachovia Center,788128.0,19223.0,2004
22.0,Cleveland Cavaliers,24.9,35.0,47.0,33.0,49.0,-2.62,-0.44,-3.07,101.4,104.2,-2.8,90.8,0.301,0.116,0.498,0.451,13.7,31.1,0.226,0.469,12.3,73.0,0.221,Gund Arena,749790.0,18288.0,2004
23.0,Toronto Raptors,27.6,33.0,49.0,31.0,51.0,-3.01,-0.4,-3.42,97.0,100.4,-3.4,86.8,0.26,0.204,0.495,0.454,14.1,23.8,0.195,0.449,14.1,70.1,0.241,Air Canada Centre,750608.0,18308.0,2004
24.0,Phoenix Suns,24.4,29.0,53.0,30.0,52.0,-3.74,0.8,-2.94,101.4,105.5,-4.1,92.6,0.28,0.18,0.515,0.475,14.3,26.6,0.209,0.482,14.7,69.9,0.24,America West Arena,670385.0,16351.0,2004
25.0,Los Angeles Clippers,24.3,28.0,54.0,28.0,54.0,-4.59,0.84,-3.74,103.5,108.5,-5.0,91.0,0.35,0.156,0.512,0.453,15.0,32.8,0.275,0.494,12.9,70.0,0.231,STAPLES Center,665396.0,16143.0,2004
26.0,Atlanta Hawks,26.2,28.0,54.0,28.0,54.0,-4.65,-0.36,-5.0,101.0,106.1,-5.1,90.8,0.303,0.191,0.514,0.465,15.4,28.6,0.235,0.476,13.1,70.5,0.234,Philips Arena,565728.0,13798.0,2004
27.0,Washington Wizards,24.4,25.0,57.0,25.0,57.0,-5.63,-0.48,-6.12,98.8,104.8,-6.0,92.2,0.337,0.194,0.5,0.454,16.0,30.7,0.241,0.486,14.9,69.5,0.214,MCI Center,645363.0,15741.0,2004
28.0,Chicago Bulls,26.8,23.0,59.0,23.0,59.0,-6.35,-0.33,-6.69,96.6,103.4,-6.8,92.2,0.272,0.186,0.486,0.446,14.9,28.1,0.197,0.469,14.1,71.4,0.253,United Center,809177.0,19736.0,2004
29.0,Orlando Magic,25.8,21.0,61.0,22.0,60.0,-7.02,-0.23,-7.25,102.7,110.4,-7.7,90.8,0.296,0.184,0.504,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,TD Waterhouse Centre,589144.0,14369.0,2004
1.0,San Antonio Spurs,28.5,59.0,23.0,63.0,19.0,7.8,0.03,7.84,107.5,98.8,8.7,88.9,0.329,0.216,0.534,0.492,13.2,29.1,0.238,0.452,14.7,73.6,0.236,SBC Center,750970.0,18316.0,2005
2.0,Phoenix Suns,25.2,62.0,20.0,59.0,23.0,7.12,-0.04,7.08,114.5,107.1,7.4,95.9,0.296,0.289,0.571,0.534,12.4,27.5,0.222,0.478,12.0,68.3,0.176,America West Arena,726066.0,17709.0,2005
3.0,Miami Heat,28.0,59.0,23.0,59.0,23.0,6.52,-0.76,5.77,110.2,103.1,7.1,90.8,0.387,0.198,0.559,0.524,13.1,27.0,0.26,0.46,12.4,74.1,0.242,AmericanAirlines Arena,815143.0,19882.0,2005
4.0,Dallas Mavericks,27.7,58.0,24.0,57.0,25.0,5.74,0.11,5.86,110.3,104.1,6.2,92.7,0.346,0.19,0.545,0.492,12.5,28.6,0.273,0.472,14.3,70.2,0.239,American Airlines Center,822533.0,20062.0,2005
5.0,Houston Rockets,29.7,51.0,31.0,53.0,29.0,4.04,0.23,4.27,106.2,101.7,4.5,88.8,0.309,0.237,0.534,0.486,13.5,26.3,0.242,0.459,12.9,74.5,0.245,Toyota Center,663444.0,16182.0,2005
6.0,Detroit Pistons,27.9,54.0,28.0,53.0,29.0,3.87,-0.55,3.31,105.6,101.2,4.4,87.2,0.335,0.164,0.519,0.472,13.3,31.2,0.247,0.461,13.5,73.0,0.207,The Palace of Auburn Hills,905116.0,22076.0,2005
7.0,Seattle SuperSonics,26.0,52.0,30.0,48.0,34.0,2.29,0.3,2.59,112.2,109.6,2.6,87.9,0.328,0.281,0.546,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.249,KeyArena at Seattle Center,675490.0,16475.0,2005
8.0,Memphis Grizzlies,26.3,45.0,37.0,48.0,34.0,2.29,0.34,2.64,105.5,102.9,2.6,88.5,0.323,0.237,0.535,0.489,14.3,27.1,0.243,0.466,15.4,69.9,0.27,FedEx Forum,691362.0,16862.0,2005
9.0,Sacramento Kings,27.7,50.0,32.0,47.0,35.0,2.16,0.4,2.56,110.5,108.2,2.3,93.0,0.287,0.2,0.541,0.496,12.0,28.8,0.226,0.493,13.3,69.0,0.214,ARCO Arena (II),709997.0,17317.0,2005
10.0,Denver Nuggets,26.7,49.0,33.0,47.0,35.0,2.02,0.2,2.23,106.0,103.9,2.1,93.5,0.35,0.142,0.535,0.483,13.8,28.4,0.267,0.482,15.1,71.7,0.247,Pepsi Center,723949.0,17657.0,2005
11.0,Minnesota Timberwolves,29.0,44.0,38.0,45.0,37.0,1.45,0.28,1.73,108.2,106.6,1.6,89.1,0.275,0.173,0.534,0.489,12.7,28.6,0.219,0.472,11.2,71.4,0.208,Target Center,704438.0,17181.0,2005
12.0,Chicago Bulls,25.0,47.0,35.0,44.0,38.0,1.06,-0.41,0.65,101.4,100.3,1.1,92.4,0.311,0.217,0.517,0.471,15.5,28.4,0.233,0.454,14.4,72.6,0.262,United Center,828384.0,20204.0,2005
13.0,Boston Celtics,27.1,45.0,37.0,43.0,39.0,0.87,-0.52,0.35,107.5,106.6,0.9,93.3,0.357,0.192,0.551,0.501,14.7,27.2,0.273,0.481,14.2,70.1,0.274,FleetCenter,656081.0,16002.0,2005
14.0,Cleveland Cavaliers,26.5,42.0,40.0,43.0,39.0,0.79,-0.52,0.27,106.6,105.7,0.9,89.7,0.325,0.135,0.518,0.47,13.0,32.5,0.244,0.485,14.1,71.5,0.248,Gund Arena,784249.0,19128.0,2005
15.0,Indiana Pacers,28.3,44.0,38.0,43.0,39.0,0.76,-0.27,0.49,105.5,104.6,0.9,87.2,0.358,0.255,0.534,0.476,14.1,26.4,0.283,0.472,13.6,71.3,0.261,Conseco Fieldhouse,696764.0,16994.0,2005
16.0,Washington Wizards,25.3,45.0,37.0,40.0,42.0,-0.33,-0.38,-0.71,107.2,107.5,-0.3,93.3,0.364,0.22,0.523,0.474,12.9,31.1,0.264,0.498,14.6,70.0,0.23,MCI Center,705069.0,17197.0,2005
17.0,Philadelphia 76ers,26.4,43.0,39.0,39.0,43.0,-0.74,-0.33,-1.07,103.5,104.3,-0.8,94.9,0.326,0.216,0.528,0.475,14.2,25.4,0.257,0.485,15.4,72.7,0.267,Wachovia Center,732686.0,17870.0,2005
18.0,Los Angeles Clippers,25.5,37.0,45.0,39.0,43.0,-0.77,0.3,-0.47,105.5,106.4,-0.9,89.1,0.357,0.105,0.533,0.477,14.9,30.3,0.278,0.48,13.0,71.3,0.235,STAPLES Center,696181.0,16980.0,2005
19.0,New Jersey Nets,27.8,42.0,40.0,36.0,46.0,-1.5,-0.32,-1.82,101.4,103.1,-1.7,89.1,0.318,0.187,0.512,0.463,13.7,25.5,0.242,0.479,15.2,73.2,0.278,Continental Airlines Arena,618681.0,15090.0,2005
20.0,Toronto Raptors,27.0,33.0,49.0,36.0,46.0,-1.62,-0.19,-1.81,106.9,108.7,-1.8,92.7,0.316,0.253,0.539,0.492,12.5,23.7,0.244,0.499,13.4,71.1,0.24,Air Canada Centre,703388.0,17156.0,2005
21.0,Golden State Warriors,26.7,34.0,48.0,35.0,47.0,-2.16,0.42,-1.74,104.7,106.9,-2.2,93.3,0.278,0.252,0.512,0.475,12.3,27.8,0.201,0.491,13.9,69.7,0.227,Oakland Arena,670368.0,16350.0,2005
22.0,Orlando Magic,26.5,36.0,46.0,35.0,47.0,-2.24,-0.27,-2.52,104.9,107.3,-2.4,94.7,0.35,0.137,0.529,0.478,14.6,29.9,0.265,0.484,13.2,71.3,0.255,TD Waterhouse Centre,597942.0,14584.0,2005
23.0,New York Knicks,27.3,33.0,49.0,34.0,48.0,-2.44,-0.28,-2.72,106.2,108.9,-2.7,90.7,0.312,0.188,0.531,0.485,13.8,28.3,0.239,0.501,13.8,71.2,0.265,Madison Square Garden (IV),800144.0,19516.0,2005
24.0,Milwaukee Bucks,26.9,30.0,52.0,32.0,50.0,-2.99,-0.1,-3.09,106.6,109.8,-3.2,90.8,0.339,0.141,0.527,0.475,13.0,29.0,0.261,0.499,12.4,72.0,0.233,Bradley Center,637009.0,15537.0,2005
25.0,Los Angeles Lakers,26.0,34.0,48.0,33.0,49.0,-2.96,0.64,-2.32,108.1,111.4,-3.3,90.8,0.322,0.273,0.535,0.485,13.4,29.5,0.251,0.493,11.0,71.1,0.218,STAPLES Center,770494.0,18793.0,2005
26.0,Portland Trail Blazers,27.0,27.0,55.0,29.0,53.0,-4.0,0.55,-3.45,103.2,107.7,-4.5,89.8,0.303,0.181,0.524,0.484,15.2,29.6,0.219,0.479,12.6,67.7,0.204,Rose Garden Arena,680374.0,16594.0,2005
27.0,Utah Jazz,25.7,26.0,56.0,29.0,53.0,-4.27,0.53,-3.74,104.7,109.5,-4.8,88.4,0.361,0.121,0.522,0.469,15.0,31.9,0.273,0.499,14.2,72.3,0.34,Delta Center,769014.0,18756.0,2005
28.0,Charlotte Bobcats,24.9,18.0,64.0,24.0,58.0,-5.99,-0.16,-6.15,101.1,107.5,-6.4,92.3,0.306,0.128,0.497,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,Charlotte Coliseum,591701.0,14432.0,2005
29.0,New Orleans Hornets,27.5,18.0,64.0,21.0,61.0,-7.07,0.78,-6.3,99.7,107.7,-8.0,87.6,0.279,0.201,0.493,0.446,14.2,29.1,0.214,0.491,13.9,70.7,0.261,New Orleans Arena,583070.0,14221.0,2005
30.0,Atlanta Hawks,26.0,13.0,69.0,16.0,66.0,-9.71,0.09,-9.62,100.6,111.1,-10.5,91.4,0.299,0.146,0.504,0.464,14.9,30.7,0.212,0.513,14.0,72.1,0.289,Philips Arena,586390.0,14302.0,2005
1.0,San Antonio Spurs,29.8,63.0,19.0,61.0,21.0,6.82,-0.13,6.69,107.3,99.6,7.7,88.5,0.298,0.215,0.546,0.513,13.6,26.0,0.209,0.457,13.5,74.2,0.22,SBC Center,770677.0,18797.0,2006
